"Anzeigename des Nutzers","Zeitstempel","Altersklasse","Beziehst du aktuell das Jugendticket BW / Würdest du das Jugendticket BW beziehen wenn du berechtigt wärst?","Begründung/Sonstige Tickets?","Beziehst du aktuell das Deutschlandticket (49 € Ticket)?","Begründung","Würdest du ein vollsolidarisches Deutschlandticket unterstützen?","Begründung","Wie stark würde dich das vollsolidarische bundesweite Semesterticket finanziell treffen? (Skala 1 (kein/kleines Problem) - 10 (nicht finanzierbar))","Sonstige Anmerkungen"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:32:05 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:32:01 GMT+0:00","≤ 26","Nein",".","Nein",".","Nein","Ich fahre Auto","10",","
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:32:01 GMT+0:00","≤ 26","Nein",".","Nein",".","Nein","Ich fahre Auto","10",","
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:31:43 GMT+0:00","> 26","Ja","Ich mag die Flexibilität, einfach jederzeit in eine S-Bahn einsteigen zu können, ohne mir Gedanken über einen Ticketkauf machen zu müssen. Ob es sich tatsächlich rechnerisch lohnt, das Ticket zu beziehen, weiß ich nicht, aber die Bequemlichkeit ist es mir wert.","Nein","Ist mir einfach zu teuer, dafür, dass ich zu 98% nur im VVS unterwegs bin. ","Ja","Das ist ein guter Preis. Für U27, die das Jugendticket beziehen, macht es sowieso keinen preislichen Unterschied. Aber endlich würde ich Ü27 auch profitieren. ","2","Da ich nächstes Semester sowieso mein Studium beende, will ich jetzt keine Entscheidung treffen, mit der dann jüngere Generationen leben müssen (wir sind ja nicht beim Brexit). Aber ich denke grundsätzlich, es wird immer Ü27 Studis wie mich geben."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:31:30 GMT+0:00","≤ 26","Ja","Das JugendticketBW wurde auf das Deutschland Ticket ausgeweitet aber zum Preis des Jugend BW-Tickets","Nein","Zu teuer, habe bereit das JugendBW-Deutschlandticket.","Nein","","6",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:30:45 GMT+0:00","≤ 26","Ja","Zwang, da kostenlose Fahrten weggefallen und Einzelfahrten viel zu teuer geworden sind","Nein","Ich hab das Jugendticket","Unentschlossen","Grundsätzlich schon, da sich kostentechnisch wenig ändert und man semesterweise flexibel ist (v.a. wegen Ausland). Aber da ich das Jugendticket BW gerade erst gekauft habe und der Vertrag bis Dezember 2024 läuft, müsste es eine Möglichkeit für eine sofortige Kündigung des Jugendticket oder einen Übergang geben, da ich sonst doppelt zahle. Wenn das Problem beseitigt ist, unterstütze ich das.","4","Ich verstehe beide Seiten und wäre mit beiden Ergebnissen zufrieden. Ich kann mir vorstellen, dass diese Entscheidung sehr schwer zu treffen ist. Aber ich bin gespannt auf das Ergebnis, viel Erfolg und danke für das Engagement :)"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:30:37 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:30:14 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:30:14 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:29:38 GMT+0:00","≤ 26","Ja","","Nein","Ich geh nicht raus aus BW, lohnt sich also gar nicht.","Nein","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:29:02 GMT+0:00","≤ 26","Ja","Ich fahre mit der Bahn zur Uni ","Ja","Das Jugend Bw rucket ist jetzt automatisch zum  Deutschland Ticket geworden  ","Nein","Unfair für Personen die mit dem Auto fahren und gar kein Jugend bw Ticket benötigen, aber dafür mehr beim Semesterbeitrag zahlen muss. Ob ich jetzt ein Euro mehr oder weniger für das Jugend Bw/Deutschland Ticket zahle macht nur einen minimalen Unterschied. Aber ein höherer Semesterbeitrag macht einen größeren Unterschied.","",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:29:01 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","6",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:27:48 GMT+0:00","> 26","Nein","","Ja","","Ja","Nur Vorteile für mich","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:27:45 GMT+0:00","≤ 26","Nein","","Ja","Kostenlos über Arbeitsgeber","Nein","Jeder sollte selbst entscheiden in ein Ticket zu investieren, je nach Bedarf","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:27:12 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:26:57 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:25:34 GMT+0:00","≤ 26","Ja","Jugendticket BW und Deutschlandticket sind jetzt ein Ticket zsm ","Ja","","Nein"," Es ist mir einfach viel zu teuer! Das kann ich mir nicht leisten. Außerdem muss ich nicht jeden Tag in die Uni, sprich ich schenke das Geld für nichts.","10","Außerdem würde man die Autofahrer nicht dazu bringen die ÖPVN zu benutzen denn wer ein Auto hat benutzt es auch! Egal welche Angebote man dafür vorlegen würden. 
So war es bisher und so wird es auch sein. Wer also mit Nachhaltigkeit kommt, sollte wo anders damit anfangen, hat ja bisher nichts gebracht."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:25:18 GMT+0:00","> 26","Nein","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:25:09 GMT+0:00","> 26","Ja","","Nein","","Unentschlossen","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:25:03 GMT+0:00","≤ 26","Ja","","Nein","Hab das jugendbw","Ja","DB Soll das endlich für lau anbieten! ","1","Das sind ganze 6€ die ich im Semester dann zahle damit andere das auch haben.  Sozialismus ist was gutes!"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:24:54 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10","Kann aufgrund einer Schwerbehinderung mittels einer Wertmarke (91€ / Jahr) bereits den kompletten Nahverkehr vergünstigt nutzen und möchte daher keine finanzielle Doppelbelastung. Sollte es in so einem Fall Ausnahmeregelungen geben welche den ÖPNV Anteil im Semesterbeitrag streichen (Wie an anderen Universitäten mit ÖPNV Beitrag im Semesterbeitrag) bin ich dem Vorschlag grundsätzlich Positiv gestimmt."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:24:53 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:24:51 GMT+0:00","≤ 26","Ja","","Nein","","Ja","So können auch ältere Komiliton*innen davon profitieren und ich brauche es so oder so ","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:24:42 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Es gibt das Deutschlandticket 27 für über 27-jährige Studierende, Auszubildende etc. seit Dezember 2023 von der SSB","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:24:35 GMT+0:00","≤ 26","Nein","Jahresabonnement bei BW Ticket --> Deutschland-Ticket besser da monatlich kündbar ","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:24:24 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","10","Sorry aber fast doppelt so viel macht ja 0 Sinn "
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:24:19 GMT+0:00","≤ 26","Nein","Brauche ich einfach nicht, weil ich bei öffis fahre ","Nein","Brauche ich einfach nicht ","Nein","Viel zu teuer, kann ich nicht finanzieren- vorallem nicht wenn ich es nicht brauche ","9","Es geht um einen Euro Unterschied pro Monat für Leute die dieses Ticket brauchen… ich sehe den Sinn darin nicht, dass alle bezahlen auch wenn wir es nicht brauchen "
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:24:17 GMT+0:00","≤ 26","Nein","Ich bin noch in der Kündigungsfrist des D Tickets","Ja","Ich hab’ zu spät mitbekommen, dass das Jugend BW deutschlandweit gilt ab Dezember","Unentschlossen","Ich persönlich würde natürlich davon profitieren, aber ich weiß nicht wie viele andere das Ticket bspw nicht bräuchten. Wenn es nur ein kleiner Teil der Studierenden wäre, würde es sich anbieten das Ticket trotzdem einzuführen, allein schon wegen der Möglichkeit für Austauschstudierende oder Studenten, die kein volles Jahr in Anspruch nehmen möchten / müssen","6",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:23:36 GMT+0:00","≤ 26","Ja","","Nein","Zu teuer ","Nein","Zu teuer","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:22:28 GMT+0:00","≤ 26","Ja","","Ja","","Ja","","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:22:25 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:22:15 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:21:33 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:21:32 GMT+0:00","≤ 26","Nein","Mir steht ein Auto zur Verfügung ","Nein","Unzuverlässigkeit der öffentlichen Verkehrsmittel/Ich suche mir ZUVERLÄSSIGE Alternativen","Nein","Weil dadurch NOCH mehr Kosten auf mich zukommen, für Leistungen, die für mich nicht relevant sind. Ich muss meinen Nebenjob aufstocken, um mir etwas leisten zu können, was ich nicht haben möchte/brauche.","10","Für mich wäre es eine Katastrophe, wenn meine Fixkosten nun noch weiter steigen/gleich so viel teurer werden. Überlegung ob mein Studium noch finanziell tragbar ist."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:21:27 GMT+0:00","≤ 26","Nein","Ich hätte es eventuell im aktuellen Wintersemester bezogen, wenn ich es nicht für ein komplettes Jahr hätte kaufen müssen sondern nur für ein Semester. Dann aber gerne auch auf eigene Entscheidung.","Ja","In Summe stand ich günstiger, da ich nur für 4 Monate ein Ticket benötigte. Im nächsten Semester schreibe ich die Bachelorarbeit bis Juni und muss auch nicht mehr zur Hochschule fahren.","Nein","Die Mehrheit der Studierenden ist unter 26, daher würde es höchstwahrscheinlich mehr Studierende benachteiligen. Ich möchte nicht GEZWUNGEN sein, das Ticket zu kaufen und doppelt so viel Geld zu bezahlen, da ich dieses Ticket im kommenden Semester überhaupt nicht benötige. Ich finde das ist definitiv nicht die Lösung, nur weil eine Minderheit von Ü26 Jährigen ausgeschlossen wird. Hierfür sollte man eine andere Lösung finden und nicht im Gegenzug andere Studierende finanziell benachteiligen.","8","Meiner Meinung mach würde es nur Sinn machen, wenn es das Jugendticket semesterweise und FREIWILLIG zu kaufen gäbe und auch nicht direkt für ein ganzes Jahr. Ich werde im letzten Semester meine Bachelorarbeit schreiben und überhaupt keine Bahn fahren, weshalb ich auch extra nicht das Jugendticket-Abo für ein Jahr gekauft habe. Über diese Entscheidung habe ich mir viele Gedanken gemacht. Nun will ich nicht doch noch dazu gezwungen sein. Denn dann stehe ich mit meiner Entscheidung blöd da, indem ich die vergangenen Monate immer 50€ bezahlt habe, da ich dachte ich stände in Summe günstiger als die 360€ im ganzen Jahr. Außerdem endet mein Studium bereits im Juni und ich müsste dennoch ein Bahnticket bis Oktober bezahlen. Es ist nicht die Lösung andere Studierende finanziell zu benachteiligen nur weil bisher eine kleine Minderheit an Studierenden ausgeschlossen ist. Es muss dafür eine andere Lösung her. Keiner sollte gezwungen sein, ein Bahnticket zu kaufen, welches er eventuell nicht benötigt."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:20:59 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:20:55 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","Wenn es mehr Ü26-Studierende, die ein Ticket wollen, gibt als Studierende, die kein Ticket wollen, würde ich das vollsolidarische Deutschlandticket unterstützen.","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:20:25 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10","Das Ticket soll jeder selbst zahlen, ich brauche es persönlich überhaupt nicht. Der hohe Semesterbeitrag ist für mich kaum tragbar."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:20:09 GMT+0:00","≤ 26","Ja","","Ja","","Unentschlossen","","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:20:01 GMT+0:00","> 26","Nein","","Nein","Ich fahre zu selten zur Hochschule/Arbeit (Hybrid/Home Office), daher ist es für mich günstiger mein vorhandenes Auto zu nutzen, als 50€ im Monat für ein Ticket auszugeben.","Ja","Über 26-Jährige wären benachteiligt, ein Deutschlandweites Ticket pauschal für alle studierende kann auch bedeuten, dass man deutlich häufiger das Auto stehen lässt.","3","Ein Modell zwischen gar nichts und Deutschlandweit wäre auch interessant. z.B. der direkte Weg zwischen zu Hause und Hochschule für einen geringfügigen Aufpreis."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:19:48 GMT+0:00","> 26","Ja","","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:19:20 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:19:14 GMT+0:00","> 26","Nein","Ich fahre mit dem Auto ","Nein","Ich brauche es nicht ","Nein","","8","Ich finde es gerechter wenn jeder selbst entscheiden kann ob er das Ticket möchte oder nicht und nicht jeder den Preis zahlen muss im Semesterbeitrag (der deutlich steigt) und es überhaupt nicht nutzt."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:19:10 GMT+0:00","≤ 26","Ja","","Nein","","Nein","ich brauch ab April kein ticket mehr und es wären deshalb für mich mehrkosten","7","Danke für die Umfrage <3"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:19:07 GMT+0:00","≤ 26","Nein","Ich habe an meinem Wohnort nicht die Möglichkeit ein öffentliches Verkehrsmittel zu nutzen und muss mit dem Auto fahren.","Nein","Siehe oben ","Nein","Ich muss meinen Sprit leider auch selbst zahlen und bekomme dafür ja auch keinen Zuschuss.","10","Der zusätzliche Beitrag sollte von denjenigen Personen gezahlt werden, die das Deutschlandticket nutzen."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:19:04 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:18:44 GMT+0:00","> 26","Ja","günstiger als das Semester- und normale Deutschlandticket","Ja","Hatte noch bis Ende Dezember ein Firmenticket","Ja","Für JugendBW Ticketbezieher ändert sich eigtl. nichts. Für ältere Studierende gibt es endlich ein bezahlbares ÖPNV Ticket. Alle die es unter der Wiche nicht brauchen können es am WE nutzen (Heimfahrt, Städtetrios und D, günstiger als Vollkosten der Autonutzung)","6","Bitte machen. Für mich >26 kostet die Kombi Semesterbeitrag und VVS Studiticket ca 380€ mit Anschlussticket, um in andere Landkreise zu fahren weit über 500€. Somit ist die Kombi im vollsolidarischen bundesweiten Semesterticket absolut lohnenswert."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:17:54 GMT+0:00","> 26","Ja","","Nein","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:16:40 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:16:38 GMT+0:00","≤ 26","Ja","Ich nutze das Ticket, um von meiner WG zur Hochschule zu kommen und um an den Wochenenden und in den Ferien nach Hause zu fahren. ","Nein","Jugendticket Deutschland günstiger ","Ja","Für mich keine Nachteile, für andere gibt es Vorteile","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:16:11 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:15:59 GMT+0:00","> 26","Nein","Deutschlandticket 49€","Ja","Durch mein Praktikum ","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:15:57 GMT+0:00","≤ 26","Ja","Günstig und gilt deutschlandweit","Nein","","Nein","Man spart als unter-26-jährige nur einen Euro pro Monat ein. Das scheint mir nicht Anlass genug um jeden zum Geld zu bitten der gar kein Ticket braucht oder möchte. ","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:15:46 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Ich möchte den Betrag weiterhin monatlich und nicht für das ganze Semester auf einmal bezahlen.","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:15:15 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:15:12 GMT+0:00","≤ 26","Nein","Ich brauche kein Ticket, da ich direkt neben der Hochschule ein Zimmer habe und dort komme ich mit dem Auto hin weil es anders für mich kaum möglich ist","Nein","","Nein","Der Semesterbeitrag wäre viel zu hoch für mich, da ich das Ticket so gut wie nie nutzen würde","7","Für einige ist das bestimmt eine tolle Möglichkeit, für mich jedoch überhaupt nicht profitabel und der Semesterbeitrag wäre viel zu hoch."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:14:57 GMT+0:00","> 26","Ja","","Nein","","Ja","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:14:41 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:14:41 GMT+0:00","≤ 26","Ja","","Ja","","Unentschlossen","Das Jugendticket ist doch fast gleich teuer dann sollen es die kaufen die es benötigen 🤔 ","",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:14:16 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:13:20 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:12:38 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:12:17 GMT+0:00","> 26","Ja","Ich muss regelmäßig bis nach Bietigheim-Bissingen für die Thesis , sowie für weitere Termine in die Innenstadt fahren.","Ja","selbe wie oben. + Weitere regelmäßige persönlich Fahrten um Freunde zu besuchen","Ja","Ü26","1","Ich brauche so oder so ein Nahverkehrsticket. Bei einem Minimum von 6*2 Fahrten pro Monat in der Stuttgarter Innenstadt lohnt sich das"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:12:16 GMT+0:00","≤ 26","Ja","","Nein","brauche ich nicht.","Nein","Auch wenn sich für mich persönlich nicht viel ändern würde, da ich eh schon das JugendTicketBW habe, denke ich an die Studis, die kein D-Ticket für 30€ brauchen/wollen. Das ist gerade für Studis nicht wenig Geld, das dann in den Semesterbeitrag fließt. ","1","Schwierige Frage, da eine Seite (entweder u26&ü26 Studis die kein Ticket wollen oder ü26 Studis, die ein Ticket wollen) auf jeden Fall „finanziell einstecken“ muss. "
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:12:14 GMT+0:00","≤ 26","Ja","Ich benötige ein Ticker und Preis technisch nimmt sich nicht viel hingegen zum Semesterticket. Das Jugendticket BW ist auch super bezahlbar. ","Nein","Das JugendTicket-BW wurde zum 12.2023 auf ein vergünstigtes D-Ticket umgestellt. ","Nein","Viele Studierende haben sich entschlossen das JugendTicketBW im WS23/34 zu kaufen. Diese würden dann doppelt zur Kasse gebeten werden. ","10","Die initiative hier zu ergreifen kommt leider zu spät. Es war bereits vor Semesterstart bekannt, dass das ""alte"" VVS Ticket was mit dem Semesterbeitrag kommt entfällt. 

Momentan ist die regelung deutlich flexibler, da alle Studierende selber entscheiden können, ob sie ein Ticket bezahlen wollen oder nicht. Es kommen genügend von weit weg, wo dies nur eine Mehrbelastung darstellen würde.  "
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:12:03 GMT+0:00","≤ 26","Ja","","Ja","","Ja","","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:11:57 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:11:15 GMT+0:00","≤ 26","Ja","","Nein","Habe das JugendTicketBW","Nein","Arbeitgeber übernimmt eventuell ÖPNV-Ticket, das heißt die 30€ würden mir und vielen anderen zusätzlich zur Last fallen.","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:11:12 GMT+0:00","≤ 26","Ja","Weil ich täglich S-Bahn fahre","Nein","Weil ich das Jugendticket habe?","Nein","Die Semestergebühren wären unfassbar viel höher für mich und ich habe so schon zu wenig Geld","9",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:10:38 GMT+0:00","≤ 26","Ja","","Ja","","Nein","Ich möchte meinem Vater nicht eine verpflichtende und deutlich hörere Summe als Semesterbeitrag zumuten, da er dies für mich bezahlt.  Beim D-Ticket kann ich dann immer selbstständig abwägen, ob ich es mir in diesem Monat kaufen möchte oder nicht.","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:10:21 GMT+0:00","≤ 26","Nein","Die bahn ist ein witz. ich fahr lieber das ganze jahr fahrrad als mich auf die bahn zu verlassen","Nein","fahr im regalfall keine bahn und wenn zieh ich mir haltn ticket","Nein","Macht das überhaupt sinn? Das 365 euro ticket kostet auf ein semester 182. Mit dem szenario 1 zahlen wir 176 mehr. Sind es die 6 euro wert? Ein döner mehr das ich mir 180 abknöpfen lass","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:09:44 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:09:33 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Die Erhöhung des Semesterbeitrags wäre (besonders nach dem sowieso schon sehr teuren Auslandsemester) gerade jetzt eine große finanzielle Belastung","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:09:20 GMT+0:00","> 26","Ja","","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:09:19 GMT+0:00","> 26","Ja","","Nein","Habe noch 1 Jahr das Jugendticket BW","Ja","Bin bald 27 und hätte dann nur ein Semesterticket oder 49€","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:08:56 GMT+0:00","> 26","Ja","","Nein","","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:08:54 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:08:54 GMT+0:00","≤ 26","Nein","Möchte mich monatlich entscheiden können. ","Ja","","Nein","Ich möchte den hohen Semesterbeitrag nicht. ","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:08:46 GMT+0:00","≤ 26","Nein","","Nein","","Nein","Semesterbeitrag von 347,90€ ist viel zu hoch!!!!","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:08:29 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:08:26 GMT+0:00","> 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:08:25 GMT+0:00","≤ 26","Ja","","Ja","","Unentschlossen","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:07:56 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Die Kosten für all diejenigen, die es nicht nutzen, sind zu hoch.","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:07:25 GMT+0:00","≤ 26","Ja","","Nein","Ich beziehe das Jugendticket BW","Unentschlossen","Ich habe erst zum Dezember 2023 das Jugendticket BW abgeschlossen. So wie ich es verstehe, kann ich diesen Vertrag erst nach 1 Jahr Laufzeit kündigen, ohne irgendwelche Zusatz „Straf“-Zahlungen leisten zu müssen. Wenn ich ab dem Sommersemester nun im Semesterbeitrag auch das Semester-Deutschlandticket bezahlen muss, zahle ich das ja doppelt…oder verstehe ich hier etwas falsch? Ansonsten bin ich für das vollsolidarische Deutschlandticket, vorausgesetzt dass ich halt nicht „doppelt“ zahlen muss und das derzeitige Abo auch vor dem 1 Jahr Laufzeit ohne „Straf“Zahlungen kündigen kann","3","Ich habe erst zum Dezember 2023 das Jugendticket BW abgeschlossen. So wie ich es verstehe, kann ich diesen Vertrag erst nach 1 Jahr Laufzeit kündigen, ohne irgendwelche Zusatz „Straf“-Zahlungen leisten zu müssen. Wenn ich ab dem Sommersemester nun im Semesterbeitrag auch das Semester-Deutschlandticket bezahlen muss, zahle ich das ja doppelt…oder verstehe ich hier etwas falsch? Ansonsten bin ich für das vollsolidarische Deutschlandticket, vorausgesetzt dass ich halt nicht „doppelt“ zahlen muss und das derzeitige Jugendticket BW Abo auch vor dem 1 Jahr Laufzeit ohne „Straf“Zahlungen kündigen kann"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:07:16 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:06:53 GMT+0:00","≤ 26","Nein","","Nein","Keine gute Bahnverbindung. Ich bin auf das Auto angewiesen","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:06:29 GMT+0:00","≤ 26","Ja","","Nein","BW-Ticket ist günstiger. Zahle nur 32€ im Monat.","Nein","Es sollte jedem selber die Entscheidung überlassen. Es gibt viele Studenten die einfach kein Ticket brauchen oder es nicht für nötig halten.","10","
"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:06:19 GMT+0:00","> 26","Ja","Ich bin leider zu alt um das Ticket zu beziehen, da es die preiswertere Variante ist würde ich es aber natürlich beziehen wenn ich berechtigt wäre","Ja","Da ich kein Anspruch auf ein anderes Ticket habe ist dies die günstigste variante die derzeit für mich möglich ist","Ja","Ich würde behaupten, dass die meisten Studenten ein Ticket benötigen um zur Uni zu kommen. Die Mehrkosten, die dadurch bei den wenigen Kommilitonen entstehen, die kein Ticket benötigen sind deshalb meiner meinung navh kleiner als die kosten, die durch das nicht vergünstigte ticket bei allen studies über 26 entstehen.","1","Durch das vollsoziale Semesterticket würde ich weniger geld ausgeben müssen. Da studies ü26 eh in vielerlei hinsicht mehr kosten stemmen müssen (an vielen orten doch kein studentenrabatt mehr, höhere Krankenkassenbeiträge, kein Kindergeld,...) würde ich für ein vollsoziales Semesterticket stimmen"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:06:10 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 14:05:46 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","1",""
